Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL
1960-01-01,116.35,83.01,22.59,122.48
1960-02-01,129.76,115.2,48.7,135.06
1960-03-01,112.5,90.54,12.41,119.04
1960-04-01,120.21,111.91,12.85,127.23
1960-05-01,153.26,127.65,15.72,162.26
1960-06-01,140.76,108.1,36.13,147.6
1960-07-01,159.29,104.12,92.44,163.66
1960-08-01,166.46,122.4,82.85,171.92
1960-09-01,156.08,115.62,57.19,162.55
1960-10-01,155.37,125.26,26.79,163.78
1960-11-01,133.09,114.56,49.11,138.58
1960-12-01,141.75,111.86,64.29,146.81
1961-01-01,140.79,112.99,20.49,148.66
1961-02-01,141.19,102.01,38.75,147.89
1961-03-01,147.89,118.04,47.54,154.45
1961-04-01,193.68,173.82,30.78,204.33
1961-05-01,167.2,137.59,31.02,176.1
1961-06-01,164.5,131.37,75.61,170.31
1961-07-01,199.85,181.31,167.65,201.96
1961-08-01,218.98,216.76,53.64,229.79
1961-09-01,224.58,234.59,42.54,236.48
1961-10-01,191.88,166.74,14.92,203.45
1961-11-01,187.59,165.05,30.56,197.86
1961-12-01,197.93,181.29,75.5,205.93
1962-01-01,148.04,136.09,41.24,155.03
1962-02-01,151.53,141.52,21.35,160.04
1962-03-01,152.66,156.55,40.29,160.01
1962-04-01,145.71,146.38,35.93,152.89
1962-05-01,150.51,138.41,24.89,158.73
1962-06-01,133.79,120.92,36.38,140.16
1962-07-01,134.1,115.95,32.87,140.72
1962-08-01,134.9,98.97,14.44,142.77
1962-09-01,160.02,137.06,23.81,168.92
1962-10-01,245.7,295.33,103.82,254.97
1962-11-01,190.24,217.41,133.35,193.96
1962-12-01,176.45,184.05,126.32,179.73
1963-01-01,167.09,150.87,46.01,175.0
1963-02-01,178.58,188.22,177.27,178.66
1963-03-01,157.65,144.17,127.0,159.66
1963-04-01,142.06,142.55,52.88,147.89
1963-05-01,134.02,127.98,34.13,140.55
1963-06-01,123.63,108.63,48.85,128.52
1963-07-01,146.33,149.99,21.73,154.47
1963-08-01,147.65,161.82,43.07,154.49
1963-09-01,149.26,126.05,62.16,154.95
1963-10-01,136.06,132.8,47.13,141.87
1963-11-01,125.88,124.15,41.12,131.42
1963-12-01,110.09,92.55,35.52,114.97
1964-01-01,140.23,89.53,32.81,147.25
1964-02-01,152.74,102.21,47.82,159.6
1964-03-01,133.47,95.83,40.06,139.58
1964-04-01,126.81,95.0,35.47,132.78
1964-05-01,150.98,98.16,57.58,157.08
1964-06-01,145.47,126.83,32.55,152.85
1964-07-01,157.08,152.05,26.91,165.59
1964-08-01,174.69,160.77,60.95,182.13
1964-09-01,141.54,118.48,69.52,146.25
1964-10-01,123.57,126.58,5.68,131.28
1964-11-01,141.73,112.42,18.36,149.8
1964-12-01,131.18,124.37,49.59,136.52
1965-01-01,115.87,86.71,32.48,121.32
1965-02-01,174.19,114.06,30.84,183.56
1965-03-01,152.36,97.09,73.72,157.5
1965-04-01,155.92,108.53,42.52,163.33
1965-05-01,182.81,139.76,56.16,191.09
1965-06-01,156.48,125.55,47.58,163.6
1965-07-01,153.71,138.3,48.88,160.57
1965-08-01,162.4,134.62,64.15,168.83
1965-09-01,201.89,201.87,67.53,210.68
1965-10-01,156.77,143.49,25.19,165.37
1965-11-01,158.13,123.32,62.09,164.41
1965-12-01,167.51,157.88,98.09,172.04
1966-01-01,149.85,132.14,53.61,156.14
1966-02-01,162.65,142.66,55.79,169.64
1966-03-01,143.65,109.2,49.99,149.78
1966-04-01,140.5,112.26,143.61,140.29
1966-05-01,137.8,116.93,49.3,143.59
1966-06-01,137.17,106.64,130.27,137.62
1966-07-01,161.14,135.17,370.13,147.48
1966-08-01,137.46,117.01,176.91,134.88
1966-09-01,138.21,103.92,84.54,141.72
1966-10-01,144.02,113.12,62.99,149.32
1966-11-01,127.71,112.49,50.74,132.74
1966-12-01,143.09,120.03,136.41,143.53
1967-01-01,141.37,102.66,83.36,145.16
1967-02-01,142.72,124.11,44.17,149.16
1967-03-01,143.16,143.23,71.75,147.82
1967-04-01,127.06,116.3,65.66,131.07
1967-05-01,186.12,161.36,209.05,184.62
1967-06-01,249.66,241.42,385.49,240.78
1967-07-01,192.02,194.98,216.97,190.38
1967-08-01,175.18,161.26,131.08,178.06
1967-09-01,146.68,126.82,101.39,149.64
1967-10-01,142.08,141.77,109.9,144.19
1967-11-01,156.65,131.31,54.76,163.31
1967-12-01,144.2,146.57,53.45,150.14
1968-01-01,185.51,155.76,51.54,194.27
1968-02-01,206.11,183.5,50.8,216.27
1968-03-01,158.68,148.41,62.93,164.94
1968-04-01,162.17,140.6,39.53,170.19
1968-05-01,137.1,120.34,69.93,141.49
1968-06-01,121.37,102.0,19.96,128.0
1968-07-01,165.85,137.67,66.47,172.35
1968-08-01,192.83,159.81,47.56,202.32
1968-09-01,162.2,149.7,33.84,170.59
1968-10-01,143.49,115.86,43.81,150.01
1968-11-01,149.02,113.52,32.8,156.62
1968-12-01,129.1,102.61,42.21,134.78
1969-01-01,135.21,128.7,51.24,140.7
1969-02-01,141.34,130.13,72.2,145.86
1969-03-01,162.82,167.27,117.22,165.8
1969-04-01,148.92,144.33,73.87,153.83
1969-05-01,128.05,110.47,85.03,130.87
1969-06-01,130.32,111.28,106.52,131.88
1969-07-01,140.74,118.28,73.54,145.13
1969-08-01,149.44,124.84,63.98,155.03
1969-09-01,144.19,112.79,86.94,147.94
1969-10-01,133.87,110.73,46.63,139.58
1969-11-01,129.55,134.03,72.62,133.27
1969-12-01,139.33,112.9,80.41,143.19
1970-01-01,110.3,120.85,78.86,112.36
1970-02-01,122.52,119.04,71.23,125.88
1970-03-01,139.82,115.57,57.84,145.18
1970-04-01,137.39,113.88,30.95,144.35
1970-05-01,179.03,159.85,92.06,184.72
1970-06-01,148.31,121.04,110.94,150.75
1970-07-01,141.0,141.74,56.71,146.51
1970-08-01,140.37,134.96,53.88,146.02
1970-09-01,192.96,224.07,149.01,195.84
1970-10-01,150.0,145.6,70.43,155.21
1970-11-01,118.86,94.07,40.04,124.02
1970-12-01,123.67,89.51,45.97,128.75
1971-01-01,123.09,110.23,80.09,125.9
1971-02-01,136.39,131.41,68.17,140.85
1971-03-01,141.05,113.79,37.88,147.8
1971-04-01,136.4,121.62,50.15,142.04
1971-05-01,123.76,94.47,49.79,128.6
1971-06-01,112.12,97.44,41.76,116.72
1971-07-01,131.83,119.2,47.29,137.35
1971-08-01,125.96,102.73,36.22,131.82
1971-09-01,125.49,102.16,57.5,129.93
1971-10-01,125.86,107.28,27.87,132.27
1971-11-01,127.81,114.95,24.12,134.59
1971-12-01,167.93,143.09,91.23,172.95
1972-01-01,143.61,117.38,46.56,149.95
1972-02-01,130.32,104.08,32.94,136.68
1972-03-01,127.17,86.04,34.46,133.23
1972-04-01,155.44,142.49,94.46,159.43
1972-05-01,180.27,168.47,105.09,185.18
1972-06-01,149.16,130.1,102.15,152.24
1972-07-01,127.16,104.47,51.78,132.09
1972-08-01,127.69,95.82,22.03,134.6
1972-09-01,150.45,137.64,50.38,156.99
1972-10-01,120.51,95.73,19.05,127.15
1972-11-01,115.51,91.33,29.08,121.16
1972-12-01,126.01,84.82,44.21,131.36
1973-01-01,114.1,82.61,36.25,119.19
1973-02-01,100.72,61.57,22.83,105.82
1973-03-01,101.45,80.55,41.23,105.38
1973-04-01,96.51,93.48,93.65,96.7
1973-05-01,86.21,74.89,74.83,86.95
1973-06-01,78.69,69.13,68.94,79.33
1973-07-01,94.11,80.62,55.25,96.65
1973-08-01,99.43,85.94,37.43,103.48
1973-09-01,97.82,82.32,64.0,100.03
1973-10-01,181.21,203.84,478.16,161.8
1973-11-01,120.37,140.95,283.19,109.73
1973-12-01,112.98,107.96,178.16,108.72
1974-01-01,98.96,99.81,111.91,98.12
1974-02-01,95.57,90.87,144.51,92.37
1974-03-01,91.39,99.62,84.41,91.84
1974-04-01,93.32,82.7,94.01,93.28
1974-05-01,90.82,80.64,100.19,90.2
1974-06-01,94.88,87.39,68.83,96.58
1974-07-01,104.23,106.38,84.46,105.52
1974-08-01,103.97,96.15,66.12,106.44
1974-09-01,82.77,67.98,78.6,83.04
1974-10-01,78.06,73.46,63.23,79.03
1974-11-01,92.29,88.66,123.45,90.25
1974-12-01,89.26,93.5,110.24,87.89
1975-01-01,100.52,93.11,244.25,91.12
1975-02-01,98.58,113.43,164.95,94.24
1975-03-01,122.88,113.03,167.56,119.95
1975-04-01,154.04,104.07,118.82,156.34
1975-05-01,107.39,89.36,106.72,107.43
1975-06-01,96.8,92.31,66.27,98.8
1975-07-01,101.38,107.17,142.19,98.71
1975-08-01,104.7,116.9,73.66,106.73
1975-09-01,103.48,85.81,75.22,105.32
1975-10-01,107.24,94.49,77.92,109.16
1975-11-01,101.57,91.06,111.02,100.95
1975-12-01,125.12,102.02,228.09,118.39
1976-01-01,113.47,103.17,104.15,114.08
1976-02-01,85.2,69.22,66.04,86.45
1976-03-01,98.97,89.0,32.15,103.34
1976-04-01,86.44,82.04,71.77,87.4
1976-05-01,80.14,82.37,54.24,81.83
1976-06-01,95.55,86.4,66.49,97.45
1976-07-01,98.02,101.57,107.47,97.4
1976-08-01,101.7,115.82,108.25,101.27
1976-09-01,97.67,89.39,59.06,100.19
1976-10-01,84.12,86.86,35.7,87.29
1976-11-01,82.21,72.21,57.91,83.8
1976-12-01,73.97,75.68,17.56,77.66
1977-01-01,71.52,72.16,27.45,74.4
1977-02-01,85.0,81.93,30.26,88.58
1977-03-01,90.71,79.79,30.24,94.66
1977-04-01,91.78,102.52,60.59,93.82
1977-05-01,84.77,97.84,52.19,86.9
1977-06-01,84.78,86.36,61.27,86.31
1977-07-01,98.31,101.55,84.7,99.19
1977-08-01,91.11,93.86,46.62,94.01
1977-09-01,84.07,85.21,32.84,87.42
1977-10-01,85.38,103.13,42.18,88.2
1977-11-01,89.81,93.42,40.67,93.02
1977-12-01,85.61,74.26,40.32,88.57
1978-01-01,85.83,84.46,55.4,87.82
1978-02-01,100.91,104.17,59.77,103.6
1978-03-01,105.61,129.76,65.35,108.25
1978-04-01,94.91,97.25,28.47,99.25
1978-05-01,113.33,146.53,74.66,115.86
1978-06-01,100.97,124.79,55.92,103.92
1978-07-01,91.81,109.38,45.0,94.87
1978-08-01,76.75,80.36,89.22,75.93
1978-09-01,94.53,90.36,92.28,94.67
1978-10-01,85.56,81.76,127.37,82.83
1978-11-01,100.64,97.02,148.26,97.52
1978-12-01,111.05,96.26,199.73,105.25
1979-01-01,115.52,107.71,213.66,109.1
1979-02-01,140.66,122.18,233.75,134.58
1979-03-01,119.26,115.15,166.42,116.18
1979-04-01,106.04,124.07,109.53,105.82
1979-05-01,94.35,100.33,78.96,95.35
1979-06-01,108.92,123.25,83.37,110.59
1979-07-01,96.51,108.19,101.01,96.22
1979-08-01,101.3,88.84,105.98,101.0
1979-09-01,103.39,99.77,61.64,106.12
1979-10-01,100.89,105.34,51.17,104.14
1979-11-01,147.54,113.09,324.92,135.94
1979-12-01,147.01,123.29,264.87,139.3
1980-01-01,188.77,195.49,452.12,171.55
1980-02-01,135.28,137.25,195.67,131.33
1980-03-01,112.48,115.33,108.07,112.76
1980-04-01,145.48,156.5,303.71,135.14
1980-05-01,121.04,112.57,133.86,120.2
1980-06-01,116.04,114.7,128.84,115.2
1980-07-01,102.3,88.52,93.03,102.91
1980-08-01,109.81,93.66,114.89,109.48
1980-09-01,134.04,138.73,374.02,118.35
1980-10-01,137.24,166.02,514.15,112.6
1980-11-01,107.14,125.17,239.66,98.48
1980-12-01,132.1,132.32,203.32,127.45
1981-01-01,107.46,141.53,122.99,106.45
1981-02-01,108.61,117.68,106.99,108.72
1981-03-01,104.68,107.49,121.77,103.57
1981-04-01,110.28,125.83,102.41,110.79
1981-05-01,115.52,132.94,107.23,116.06
1981-06-01,118.82,146.56,130.27,118.07
1981-07-01,104.81,102.1,110.78,104.42
1981-08-01,113.29,115.15,98.89,114.23
1981-09-01,114.4,113.79,91.8,115.87
1981-10-01,114.87,103.77,126.02,114.14
1981-11-01,108.24,136.76,62.12,111.26
1981-12-01,142.09,156.13,147.86,141.71
1982-01-01,110.47,136.29,62.96,113.58
1982-02-01,110.46,129.9,73.27,112.89
1982-03-01,117.66,154.63,88.95,119.54
1982-04-01,156.56,216.46,152.98,156.79
1982-05-01,153.07,194.8,147.94,153.4
1982-06-01,179.45,207.15,233.37,175.92
1982-07-01,138.43,161.18,218.86,133.17
1982-08-01,146.66,127.68,121.36,148.32
1982-09-01,123.0,114.03,69.17,126.52
1982-10-01,111.43,127.05,59.11,114.85
1982-11-01,103.74,128.58,84.06,105.03
1982-12-01,105.11,123.51,46.49,108.95
1983-01-01,88.89,111.49,52.42,91.27
1983-02-01,97.19,109.91,72.29,98.81
1983-03-01,94.13,103.49,43.08,97.46
1983-04-01,113.05,137.44,84.85,114.9
1983-05-01,99.26,123.93,52.96,102.29
1983-06-01,100.14,123.83,38.92,104.14
1983-07-01,108.67,113.44,61.72,111.74
1983-08-01,101.8,104.56,69.75,103.89
1983-09-01,137.83,154.58,86.31,141.2
1983-10-01,131.94,151.71,166.23,129.7
1983-11-01,129.9,168.05,119.94,130.56
1983-12-01,112.76,142.87,85.08,114.57
1984-01-01,96.8,120.96,68.48,98.65
1984-02-01,100.07,107.32,116.68,98.98
1984-03-01,91.28,103.08,141.59,87.99
1984-04-01,100.35,108.92,83.97,101.42
1984-05-01,94.08,114.57,198.91,87.22
1984-06-01,86.66,115.68,178.55,80.65
1984-07-01,69.93,85.01,60.83,70.52
1984-08-01,90.49,85.49,83.33,90.96
1984-09-01,102.97,110.06,73.99,104.87
1984-10-01,101.92,111.61,46.18,105.57
1984-11-01,112.49,113.26,32.46,117.72
1984-12-01,101.68,117.78,78.6,103.19
1985-01-01,97.78,95.89,67.69,99.75
1985-02-01,98.26,112.96,21.39,103.29
1985-03-01,112.17,127.19,94.94,113.29
1985-04-01,102.68,94.68,29.19,107.49
1985-05-01,109.76,105.63,67.13,112.55
1985-06-01,145.08,166.45,93.0,148.48
1985-07-01,120.03,142.1,69.16,123.36
1985-08-01,112.95,90.82,64.07,116.15
1985-09-01,118.92,111.59,89.33,120.85
1985-10-01,134.72,133.78,44.31,140.63
1985-11-01,123.56,117.54,61.67,127.6
1985-12-01,124.31,117.24,71.57,127.75
1986-01-01,117.77,143.47,132.9,116.79
1986-02-01,119.61,107.09,97.07,121.09
1986-03-01,119.87,109.22,61.94,123.65
1986-04-01,160.5,192.18,129.12,162.55
1986-05-01,124.66,126.86,75.7,127.86
1986-06-01,126.33,106.57,49.22,131.38
1986-07-01,121.84,97.98,22.63,128.33
1986-08-01,110.98,112.77,58.95,114.38
1986-09-01,128.31,125.32,64.73,132.47
1986-10-01,110.25,115.78,44.28,114.56
1986-11-01,114.84,129.14,101.4,115.71
1986-12-01,114.98,110.89,52.45,119.07
1987-01-01,111.39,107.72,96.11,112.38
1987-02-01,104.77,103.52,58.75,107.78
1987-03-01,95.62,96.68,63.69,97.71
1987-04-01,102.13,126.8,50.34,105.52
1987-05-01,101.83,99.63,163.0,97.83
1987-06-01,107.32,105.41,217.7,100.11
1987-07-01,108.53,111.4,224.79,100.93
1987-08-01,114.95,114.72,284.34,103.88
1987-09-01,105.72,131.98,226.93,97.79
1987-10-01,107.61,116.53,248.19,98.42
1987-11-01,100.44,111.22,92.12,100.99
1987-12-01,116.81,130.74,97.58,118.06
1988-01-01,105.0,94.38,71.84,107.17
1988-02-01,97.55,86.4,47.25,100.84
1988-03-01,115.39,115.48,104.86,116.08
1988-04-01,116.31,121.99,179.9,112.15
1988-05-01,98.36,113.22,49.34,101.57
1988-06-01,80.44,80.58,36.81,83.3
1988-07-01,96.2,90.89,83.93,97.0
1988-08-01,95.76,88.19,33.75,99.81
1988-09-01,84.26,81.6,28.61,87.9
1988-10-01,69.4,71.85,22.0,72.5
1988-11-01,73.04,76.16,21.61,76.4
1988-12-01,89.26,99.75,8.42,94.55
1989-01-01,84.99,91.0,22.79,89.05
1989-02-01,83.12,96.57,14.31,87.62
1989-03-01,82.99,87.45,23.2,86.9
1989-04-01,83.82,95.47,29.36,87.39
1989-05-01,95.87,109.19,15.53,101.12
1989-06-01,98.69,103.61,54.1,101.61
1989-07-01,71.44,80.38,5.91,75.73
1989-08-01,91.44,106.69,36.54,95.03
1989-09-01,82.62,81.91,14.63,87.07
1989-10-01,70.46,75.88,18.2,73.88
1989-11-01,79.55,108.71,16.18,83.69
1989-12-01,109.23,125.78,22.68,114.89
1990-01-01,105.44,85.66,57.6,108.56
1990-02-01,96.62,84.77,30.11,100.97
1990-03-01,93.28,76.29,26.72,97.64
1990-04-01,97.01,87.69,142.13,94.06
1990-05-01,98.76,92.47,85.87,99.6
1990-06-01,89.86,83.27,66.79,91.36
1990-07-01,86.86,89.26,74.96,87.63
1990-08-01,204.1,230.7,1153.9,142.01
1990-09-01,150.69,174.36,450.11,131.11
1990-10-01,111.25,138.97,228.42,103.59
1990-11-01,124.26,159.06,239.12,116.75
1990-12-01,137.67,157.88,226.69,131.85
1991-01-01,259.57,302.52,699.12,230.83
1991-02-01,207.53,283.11,484.67,189.42
1991-03-01,116.74,145.34,239.61,108.71
1991-04-01,94.08,102.64,146.7,90.64
1991-05-01,88.52,93.24,60.16,90.38
1991-06-01,78.55,85.42,35.06,81.39
1991-07-01,93.95,106.81,90.82,94.16
1991-08-01,110.44,105.98,77.91,112.56
1991-09-01,103.19,109.88,66.15,105.61
1991-10-01,88.74,101.84,79.2,89.36
1991-11-01,93.67,90.22,146.36,90.23
1991-12-01,98.14,110.9,88.67,98.76
1992-01-01,98.34,103.73,75.58,99.82
1992-02-01,87.25,90.91,84.69,87.42
1992-03-01,83.72,83.66,67.33,84.79
1992-04-01,81.9,102.04,77.44,82.19
1992-05-01,88.84,89.55,152.22,84.7
1992-06-01,93.72,105.5,33.35,97.66
1992-07-01,95.97,86.78,89.74,96.38
1992-08-01,102.93,89.71,124.55,101.51
1992-09-01,87.87,85.51,31.48,91.56
